,review,stars
95,Fit as expected. Better than so called Reebok shoes shown in Image. I bought in just  Rs. 519. I will again review after using it for some time.,5.0
96,Amazon seller se aur Amazon se haath jod ke nivedan hai ki sikyor delivery 🚚 karya Jai Amazon ok thanks 🙏 mujhe galat Laga Bata Diya ok,4.0
97,Best,4.0
98,यह बहुत बढ़िया आरामदायक एवं हल्का है I love it,5.0
99,"I am very like this product, very light weight and comfort",5.0
100,"I think this is my 4 order for this item and its great for workout, jogging",5.0
101,"It's comfortable , looks good , can go for it",3.0
102,Manpasand,4.0
103,"The media could not be loaded.
                



 I. Like the product",3.0
104,as per expectation exellent product and best price,4.0
105,Best product as per my requirement fully comfortable,5.0
106,"Best shoes, best price and on time delivery",5.0
107,,4.0
108,I can only say just buy this if you are interested in product. Don't worry about quality,4.0
109,Very good product and value of money,5.0
110,"The media could not be loaded.
                



 Not bad",4.0
111,काम करने के लिए,4.0
112,Very comfortable. Good buy. Size is a bit small. So order 1 size bigger.,5.0
113,,4.0
114,Very nice but 1site is small,3.0
115,Value for money,5.0
116,Light weight and comfortable,5.0
117,Good product,5.0
118,Good one,5.0
119,Super,5.0
120,amezing,5.0
121,Acha h,5.0
122,For walking and saftey of feet 🐾,5.0
123,Light weight bt top section of the shoes hurts. may get injured if you are not wearing socks,3.0
124,Product is good but not properly packed as per Amazon,4.0
125,Good item,5.0
126,Very comfortable and good quality shoes,5.0
127,Excellent quality and comfort 💯,5.0
128,Not expecting from campus like this shoes.. looks like road side shoes..,3.0
129,the product quality was so good,5.0
130,"The media could not be loaded.
                



 Good Good product quality Paisa photos pahnane",4.0
131,Good for casual use. Price is also a plus point.,5.0
132,"Very easily fitting and comfortable shoes. Very good to strolling long distances, casual walking, etc without worrying about your feet. Totally worth the price",4.0
133,Very goodBut price is Little high,4.0
134,Value for money,5.0
135,Working to comfort,5.0
136,Nice shoesGenuine qualityThanks Amazon,4.0
137,"First, was sent a bigger size. After exchange , got the correct size. Little hard to wear. Need both hands to fit your leg in. Cannot slide in as expected from a shoe of this design. After a week, the soles covering is comming off. Not expecting this to happen for the price paid",3.0
138,"Very good product on this price range. Comfort good, light weight, look good and cool.",4.0
